"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 08 18:40:46 IST 2023","Sat Jul 08 18:40:56 IST 2023","10286","webkit","","","","","test2",""
"passed","Sat Jul 08 18:40:37 IST 2023","Sat Jul 08 18:40:45 IST 2023","7977","firefox","","","","","testboxes",""
"passed","Sat Jul 08 18:40:26 IST 2023","Sat Jul 08 18:40:36 IST 2023","9729","chromium","","","","","testboxes",""
"passed","Sat Jul 08 18:40:26 IST 2023","Sat Jul 08 18:40:36 IST 2023","9879","chromium","","","","","test",""
"passed","Sat Jul 08 18:40:26 IST 2023","Sat Jul 08 18:40:41 IST 2023","15169","chromium","","","","","Verify helper methods",""
"passed","Sat Jul 08 18:40:47 IST 2023","Sat Jul 08 18:40:55 IST 2023","7635","webkit","","","","","test",""
"passed","Sat Jul 08 18:40:55 IST 2023","Sat Jul 08 18:41:03 IST 2023","8318","webkit","","","","","Verify helper methods",""
"passed","Sat Jul 08 18:40:49 IST 2023","Sat Jul 08 18:40:57 IST 2023","8776","webkit","","","","","testboxes",""
"passed","Sat Jul 08 18:40:42 IST 2023","Sat Jul 08 18:40:55 IST 2023","13372","firefox","","","","","Verify helper methods",""
"passed","Sat Jul 08 18:40:26 IST 2023","Sat Jul 08 18:40:36 IST 2023","10397","chromium","","","","","test2",""
"passed","Sat Jul 08 18:40:37 IST 2023","Sat Jul 08 18:40:44 IST 2023","7470","firefox","","","","","test",""
"passed","Sat Jul 08 18:40:37 IST 2023","Sat Jul 08 18:40:46 IST 2023","9491","firefox","","","","","test2",""
